unani_herb__formulations,botanic_name,parts_used,temperament,ingredients,diseases,symptoms_relieved,dosage,treatment,unnamed:_9,unani_herb__formulations_ur,botanic_name_ur,parts_used_ur,temperament_ur,ingredients_ur,diseases_ur,symptoms_relieved_ur,dosage_ur,treatment_ur
Nankhwa,trachyspermum ammi,seeds,hot dry,['thymol'],['indigestion colic'],['gas bloating'],3g crushed seeds,the herb formulation is used in the treatment of indigestion colic,,نانکوا,ٹراکیسپرم اممی,بیج,گرم خشک,['ٹامول'],['ہضم کا مسئلہ'],['گیس پھولنا'],3 گرام کچلنے والے بیج,ہضم کی خرابی کے کولک کے علاج میں جڑی بوٹیوں کا فارمولا استعمال کیا جاتا ہے
Pashanbhed,bergenia ligulata,root,cold dry,['bergenin'],['kidney stones'],['painful urination'],3 5g decoction,the herb formulation is used in the treatment of kidney stones,,پشنبید,برینیا لیگولٹا,جڑ,سرد خشک,['برینین'],['گردے کے پتھر'],['درد ناک پیشاب'],3 5 جی ڈائیکوریشن,جگر کے پتھر کے علاج میں جڑی بوٹیوں کا فارمولا استعمال کیا جاتا ہے
Ratanjot,onosma echioides,root,hot dry,['alkannin'],['wounds inflammation'],['skin redness swelling'],topical paste,the herb formulation is used in the treatment of wounds inflammation,,رتنجوٹ,اونوسمہ ایکیوڈس,جڑ,گرم خشک,['الکانن'],['زخموں کی سوزش'],['جلد کی سرخگی سوجن'],گھریلو پیسٹ,جرحوں کی سوزش کے علاج میں جڑی بوٹی کی تشکیل کا استعمال کیا جاتا ہے
Shatavari,asparagus racemosus,root,cold wet,['shatavarin'],['female disorders'],['menstrual pain low milk'],5 10g powder,the herb formulation is used in the treatment of female disorders,,شتاباری,اسپرجوس ریسیمسس,جڑ,سرد گیلے,['شاتاویرین'],['خواتین کی خرابی'],['ماہواری کا درد کم دودھ'],5 10 جی پاؤڈر,جڑی بوٹیوں کی تشکیل خواتین کی بیماریوں کے علاج میں استعمال ہوتی ہے
Talispatra,abies webbiana,leaves,hot dry,['essential oils'],['bronchitis asthma'],['cough congestion'],3g decoction,the herb formulation is used in the treatment of bronchitis asthma,,تالیپتر,ایبیز ویببیانا,پتیاں,گرم خشک,['ضروری تیل'],['برونچائٹس آسم'],['کھانسی کا بوجھ'],3 جی ڈائیکوریشن,جڑی بوٹیوں کی تشکیل برونچائٹس آسم کے علاج میں استعمال کی جاتی ہے
Ushba,inula racemosa,root,hot dry,['alantolactone'],['bronchitis pain'],['chest tightness spasms'],1 2g powder,the herb formulation is used in the treatment of bronchitis pain,,اُشبا,انولہ ریسموسا,جڑ,گرم خشک,['الانٹولاکٹون'],['برونچائٹس درد'],['سینے کی تنگی کے اسپامز'],12 گرام پاؤڈر,جڑی بوٹیوں کی تشکیل برونچائٹس درد کے علاج میں استعمال کی جاتی ہے
Vidanga,embelia ribes,fruits,hot dry,['embelin'],['worm infections'],['abdominal pain itching'],3 5g powder,the herb formulation is used in the treatment of worm infections,,وڈنگا,امبیلیا ریبز,پھل,گرم خشک,['امبیلن'],['کرم کی انفیکشن'],['پیٹ میں درد اور خارش'],3 5g پاؤڈر,جڑی بوٹیوں کی تشکیل کو کرم کی انفیکشن کے علاج میں استعمال کیا جاتا ہے
Yashtimadhu,glycyrrhiza glabra,root,hot wet,['glycyrrhizin'],['throat irritation'],['hoarseness cough'],2 3g chew sticks,the herb formulation is used in the treatment of throat irritation,,یاشتمادھو,گلیکیریزا گلابرا,جڑ,گرم مٹی,['گلیسیریزین'],['گلے میں تپش'],['ہلچل کھانسی'],2 3 جی چوسنے والی چھڑیاں,گیہوں کی تڑپ کے علاج میں جڑی بوٹی کی تشکیل کا استعمال کیا جاتا ہے
Zanjabeel,zingiber officinale,rhizome,hot dry,['gingerol'],['nausea cold'],['vomiting chills'],1 3g fresh juice,the herb formulation is used in the treatment of nausea cold,,زنجابیل,زنجبر آفسینال,ریزوم,گرم خشک,['گنجرول'],['سردی'],['کھانسی کی جھنجھلائی'],13 گرام تازہ رس,گیہوں کی تشکیل کو بیہودہ سردی کے علاج میں استعمال کیا جاتا ہے
Arjun,terminalia arjuna,bark,cold dry,['arjunolic acid'],['heart diseases'],['palpitations weakness'],3 5g decoction,the herb formulation is used in the treatment of heart diseases,,ارجن,ٹرمینلیا ارجنا,جھونپڑنا,سرد خشک,['ارجونیولک ایسڈ'],['دل کی بیماریاں'],['دل کی دھڑکنوں کی کمزوری'],3 5 جی ڈائیکوریشن,ہربل فارمولا دل کی بیماریوں کے علاج میں استعمال کیا جاتا ہے
Bakuchi,psoralea corylifolia,seeds,hot dry,['psoralen'],['leucoderma psoriasis'],['white patches itching'],topical oil,the herb formulation is used in the treatment of leucoderma psoriasis,,باکوچی,psoralea corylifolia,بیج,گرم خشک,['پسونرالین'],['لیوکوڈرما پسوریازس'],['سفید داغ خارش'],گھریلو تیل,جڑی بوٹیوں کی تشکیل لیوکودرما پسوریازس کے علاج میں استعمال کی جاتی ہے
Chirata,swertia chirata,whole plant,cold dry,['amarogentin'],['fever malaria'],['high temperature weakness'],2 3g decoction,the herb formulation is used in the treatment of fever malaria,,چیراٹا,سُورٹیا چیراٹا,پورے پلانٹ,سرد خشک,['اماروجینٹین'],['بخار ملیریا'],['اعلی درجہ حرارت کی کمزوری'],2 3 جی ڈائیکوریشن,جڑی بوٹیوں کی تشکیل بخار ملیریا کے علاج میں استعمال ہوتی ہے
Daruhaldi,berberis aristata,root,hot dry,['berberine'],['eye infections'],['redness discharge'],eye drops 1,the herb formulation is used in the treatment of eye infections,,دارہالدی,بربرس آریسٹاٹا,جڑ,گرم خشک,['بربرین'],['آنکھوں کی انفیکشن'],['سرخیاں خارج کرنا'],آنکھوں کے قطرے 1,جڑی بوٹیوں کی تشکیل آنکھوں کی انفیکشن کے علاج میں استعمال کی جاتی ہے
Gokhru,tribulus terrestris,fruits,hot dry,['protodioscin'],['urinary issues libido'],['frequent urination ed'],3 5g powder,the herb formulation is used in the treatment of urinary issues libido,,گوکھرو,ٹربولس ٹیرسٹرس,پھل,گرم خشک,['پروٹودیوسین'],['پیشاب کے مسائل لیبڈو'],['بار بار پیشاب کرنا'],3 5g پاؤڈر,اس جڑی بوٹی کی تشکیل کو پیشاب کے مسائل کے علاج میں استعمال کیا جاتا ہے
Hapusha,juniperus communis,fruits,hot dry,['terpenes'],['uti arthritis'],['burning urination pain'],3g crushed fruits,the herb formulation is used in the treatment of uti arthritis,,ہاپوشا,جونیپیرس کمیونس,پھل,گرم خشک,['ٹربین'],['یوٹی آرتھرائٹس'],['پیشاب میں جلنے والا درد'],3 گرام کچلنے والے پھل,اس جڑی بوٹی کی تشکیل کو یوٹی آرتھرائٹس کے علاج میں استعمال کیا جاتا ہے
Ilaichi,elettaria cardamomum,seeds,hot wet,['cineole'],['digestive issues'],['bad breath nausea'],1 2g powder,the herb formulation is used in the treatment of digestive issues,,ایلیچی,الیکٹریا کارڈیموم,بیج,گرم مٹی,['سینٹین'],['ہضم کے مسائل'],['سانس کی خرابی'],12 گرام پاؤڈر,ہضم کے مسائل کے علاج میں جڑی بوٹیوں کی تشکیل کا استعمال کیا جاتا ہے
Jau,hordeum vulgare,seeds,cold dry,['beta glucan'],['urinary stones'],['painful urination'],50g boiled,the herb formulation is used in the treatment of urinary stones,,جاو,ہورڈیم vulgare,بیج,سرد خشک,['بیٹا گلوکین'],['پگھلنے والے پتھر'],['درد ناک پیشاب'],50 گرام ابلایا,ہربل فارمولاٹولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولولول
Kamala,mallotus philippensis,fruits,hot dry,['rottlerin'],['worm infections'],['itching diarrhea'],3 5g powder,the herb formulation is used in the treatment of worm infections,,کمالا,مالٹوس فلپینس,پھل,گرم خشک,['رٹلرین'],['کرم کی انفیکشن'],['خارش کا اسہال'],3 5g پاؤڈر,جڑی بوٹیوں کی تشکیل کو کرم کی انفیکشن کے علاج میں استعمال کیا جاتا ہے
Lajwanti,mimosa pudica,whole plant,cold dry,['mimosine'],['anxiety wounds'],['nervousness bleeding'],5g paste,the herb formulation is used in the treatment of anxiety wounds,,لاجوانتی,میموسا پوڈیکا,پورے پلانٹ,سرد خشک,['میموسن'],['اضطراب کے زخم'],['اعصابی خونریزی'],5 جی پیسٹ,گھبراہٹ کے زخموں کے علاج میں جڑی بوٹیوں کا فارمولا استعمال کیا جاتا ہے
Mochras,bombax ceiba,flowers,cold wet,['flavonoids'],['diarrhea dysentery'],['loose stools cramps'],3g powder,the herb formulation is used in the treatment of diarrhea dysentery,,موکر,bombax ceiba,پھول,سرد گیلے,['فلوینائڈ'],['اسہال، ڈیسینٹری'],['چھلانگیں چھلانگیں'],3 جی پاؤڈر,اس کے علاوہ، اس کے ساتھ ساتھ اس کے ساتھ بھی استعمال کیا جاتا ہے.
Babuna,matricaria chamomilla,flowers,hot dry,['bisabolol'],['insomnia indigestion'],['anxiety bloating'],5g infusion tea,the herb formulation is used in the treatment of insomnia indigestion,,بابونا,ماتریکاریا چامملہ,پھول,گرم خشک,['بیسا بولول'],['بے خوابی، ہضم کی خرابی'],['اضطراب پھولنا'],5 جی انفیوژن چائے,جڑی بوٹیوں کی تشکیل کو بے خوابی اور ہضم کی خرابی کے علاج میں استعمال کیا جاتا ہے
Habb-e-Sahil,artemisia maritima,seeds,hot dry,['santonin'],['worm infections'],['abdominal pain itching'],2 3g at night,the herb formulation is used in the treatment of worm infections,,ہابِ سَہِل,آرٹیمیسیا میریٹیما,بیج,گرم خشک,['سانٹونین'],['کرم کی انفیکشن'],['پیٹ میں درد اور خارش'],رات کو 2 3 جی,جڑی بوٹیوں کی تشکیل کو کرم کی انفیکشن کے علاج میں استعمال کیا جاتا ہے
Post Kalan,cinnamomum cassia,bark,hot dry,['cinnamaldehyde'],['cold diabetes'],['chills high sugar'],1 3g powder,the herb formulation is used in the treatment of cold diabetes,,پوسٹ کالان,کاسیہ کاسیہ,جھونپڑنا,گرم خشک,['سنملڈیہائیڈ'],['سردی کا ذیابیطس'],['سردی اعلی چینی'],1 3 گرام پاؤڈر,جڑی بوٹیوں کی تشکیل سرد ذیابیطس کے علاج میں استعمال کی جاتی ہے
Barg-e-Neem,azadirachta indica,leaves,cold dry,['azadirachtin'],['skin diseases fever'],['itching inflammation'],5 10g decoction,the herb formulation is used in the treatment of skin diseases fever,,برگِِ نیِم,آزادراچتا انڈیکا,پتیاں,سرد خشک,['آزادراچٹن'],['جلد کی بیماریاں بخار'],['خارش کی سوزش'],5 10 جی ڈائیکوریشن,جڑی بوٹیوں کی تشکیل جلد کی بیماریوں کی بخار کے علاج میں استعمال کی جاتی ہے
Filfil Siyah,piper nigrum,fruits,hot dry,['piperine'],['digestive issues cold'],['cough flatulence'],250 500mg powder,the herb formulation is used in the treatment of digestive issues cold,,فل فل سیہ,پیپر نیگرم,پھل,گرم خشک,['پیپیرین'],['ہضم کے مسائل سردی'],['کھانسی کا مرض'],250 500mg پاؤڈر,ہضم کے مسائل کے علاج میں جڑی بوٹیوں کی تشکیل کا استعمال سردی میں کیا جاتا ہے
Badiyan,foeniculum vulgare,seeds,hot wet,['anethole'],['colic gas'],['bloating nausea'],3 5g crushed seeds,the herb formulation is used in the treatment of colic gas,,بادیان,فونیکلوم وولگری,بیج,گرم مٹی,['انٹول'],['کولک گیس'],['پھولنے والی کھانسی'],3 5 جی کچلنے والے بیج,جڑی بوٹیوں کی تشکیل کولیک گیس کے علاج میں استعمال کیا جاتا ہے
Haldi,curcuma longa,rhizome,hot dry,['curcumin'],['inflammation wounds'],['pain swelling'],1 3g powder with honey,the herb formulation is used in the treatment of inflammation wounds,,ہالڈی,کرما لونگا,ریزوم,گرم خشک,['کرکومین'],['سوزش کے زخم'],['درد کی سوزش'],شہد کے ساتھ 13 گرام پاؤڈر,جڑی بوٹیوں کی تشکیل سوزش کے زخموں کے علاج میں استعمال کی جاتی ہے
Pudina,mentha arvensis,leaves,cold wet,['menthol'],['nausea headache'],['vomiting dizziness'],5 10g fresh leaves,the herb formulation is used in the treatment of nausea headache,,پڈینا,منتا آرونیسس,پتیاں,سرد گیلے,['مینٹول'],['سردرد'],['ہلچل'],5 10 گرام تازہ پتیاں,گیہوں کی تشکیل کو سردرد کے علاج میں استعمال کیا جاتا ہے
Amla,emblica officinalis,fruit,cold dry,['vitamin c'],['immunity aging'],['weakness hair fall'],5 10g powder or fresh,the herb formulation is used in the treatment of immunity aging,,املا,سرکاری ادارہ,پھل,سرد خشک,['وٹامن سی'],['مدافعتی عمر بڑھنا'],['کمزوری بالوں کا گرنا'],5 10g پاؤڈر یا تازہ,جڑی بوٹیوں کی تشکیل کا استعمال مدافعتی عمر بڑھنے کے علاج میں کیا جاتا ہے
Zafran,crocus sativus,stigma,hot dry,['crocin'],['depression impotence'],['low libido sadness'],50 100mg with milk,the herb formulation is used in the treatment of depression impotence,,زفران,کراس سٹیو,بدنامی,گرم خشک,['کراسین'],['ڈپریشن قوت مدافعت'],['کم لیبیڈو اداسی'],دودھ کے ساتھ 50 100mg,ڈپریشن اور قوت مدافعت کے علاج میں جڑی بوٹیوں کا استعمال کیا جاتا ہے
Asl-us-Soos,glycyrrhiza glabra,root,hot wet,['glycyrrhizin'],['cough sore throat'],['hoarseness irritation'],3 5g decoction,the herb formulation is used in the treatment of cough sore throat,,Asl-us-Soos,گلیکیریزا گلابرا,جڑ,گرم مٹی,['گلیسیریزین'],['کھانسی کے ساتھ گلے میں درد'],['کڑویگی تڑپنا'],3 5 جی ڈائیکوریشن,ہرس کے درد کے علاج میں جڑی بوٹی کا فارمولا استعمال کیا جاتا ہے
Tukhm-e-Kasoos,cuscuta reflexa,seeds,cold wet,['cuscutin'],['liver disorders'],['jaundice fatigue'],3 5g powder,the herb formulation is used in the treatment of liver disorders,,توکمِ کاسو,کُسکوٹا ریفلیکس,بیج,سرد گیلے,['کُسکوٹین'],['جگر کی خرابی'],['زرداری کی تھکاوٹ'],3 5g پاؤڈر,جگر کی خرابیوں کے علاج میں جڑی بوٹی کی تشکیل کا استعمال کیا جاتا ہے
Gule-Surkh,rosa damascena,flowers,cold wet,['geraniol'],['anxiety palpitations'],['stress insomnia'],5g rose water,the herb formulation is used in the treatment of anxiety palpitations,,گل سورخ,روزا ڈاماسینا,پھول,سرد گیلے,['جیرانیول'],['اضطراب کے دل کے دھڑکنے'],['کشیدگی سے بے خوابی'],گلاب کا پانی 5 گرام,گھبراہٹ کے دل کے دھڑکنوں کے علاج میں جڑی بوٹیوں کا فارمولا استعمال کیا جاتا ہے
Kalonji,nigella sativa,seeds,hot dry,['thymoquinone'],['asthma diabetes'],['wheezing high sugar'],1 3g with honey,the herb formulation is used in the treatment of asthma diabetes,,کالونجی,نیجلا سیٹیوا,بیج,گرم خشک,['تھیموکوئنون'],['آسمہ کا ذیابیطس'],['تیز تیز چینی'],شہد کے ساتھ 13 گرام,جڑی بوٹیوں کی تشکیل آسمانی ذیابیطس کے علاج میں استعمال کی جاتی ہے
Gaozaban,borago officinalis,leaves,hot wet,['gamma linolenic acid'],['heart health'],['palpitations anxiety'],5g infusion,the herb formulation is used in the treatment of heart health,,گوزبان,بورگو آفسینالیس,پتیاں,گرم مٹی,['گاما لینولینک ایسڈ'],['دل کی صحت'],['دل کی دھڑکنوں کا اضطراب'],5 جی انفیوژن,ہربل فارمولا دل کی صحت کے علاج میں استعمال کیا جاتا ہے
Sandal,santalum album,wood,cold dry,['santalol'],['burning sensations'],['uti skin rashes'],1 3g paste,the herb formulation is used in the treatment of burning sensations,,سینڈل,سانتالم البوم,لکڑی,سرد خشک,['سانٹلول'],['جلنے کا احساس'],['جلد کی چھٹکارا'],1 3 گرام پسٹ,جڑی بوٹیوں کی تشکیل جلنے کے احساس کے علاج میں استعمال کی جاتی ہے
Habb-ul-Aas,myrtus communis,fruits,hot dry,['myrtenol'],['uti diarrhea'],['dysuria loose stools'],3 5g decoction,the herb formulation is used in the treatment of uti diarrhea,,ہاب-ول-عاص,مرطوس کمیونس,پھل,گرم خشک,['مِرِتِنول'],['امراضِ اسہال'],['ڈسوریہ چھلانگیں'],3 5 جی ڈائیکوریشن,جڑی بوٹیوں کی تشکیل کا استعمال استعمال استعمال میں استعمال کیا جاتا ہے
Murmakki,commiphora myrrha,resin,hot dry,['furanoeudesma'],['wounds arthritis'],['swelling pus'],1g powder with water,the herb formulation is used in the treatment of wounds arthritis,,مرمککی,مِرَرَہ,ریشم,گرم خشک,['فورنوائیڈسما'],['زخموں میں آرتھرائٹس'],['پُس کی سوزش'],پانی کے ساتھ 1 گرام پاؤڈر,جڑی بوٹیوں کی تشکیل زخموں کے علاج میں استعمال کیا جاتا ہے جو آرتھرائٹس
Baqla,vicia faba,seeds,hot wet,['levodopa'],['parkinson s weakness'],['tremors fatigue'],10 15g cooked,the herb formulation is used in the treatment of parkinson s weakness,,باقرہ,ویسیا فابا,بیج,گرم مٹی,['لیوڈوپ'],['پارکینسن کی کمزوری'],['تھکاوٹ'],10 15 گرام پکایا,اس جڑی بوٹی کی تشکیل کا استعمال پارکینسن کی کمزوری کے علاج میں کیا جاتا ہے
Darchini,cinnamomum zeylanicum,bark,hot dry,['cinnamaldehyde'],['cold fatigue'],['low energy chills'],1 2g powder,the herb formulation is used in the treatment of cold fatigue,,ڈارچینی,زائلانکوم سینیملوم,جھونپڑنا,گرم خشک,['سنملڈیہائیڈ'],['سردی کی تھکاوٹ'],['کم توانائی کے ٹھنڈے'],12 گرام پاؤڈر,جڑی بوٹیوں کی تشکیل سرد تھکاوٹ کے علاج میں استعمال کی جاتی ہے
Bargad,ficus benghalensis,leaves,cold wet,['ficusin'],['diarrhea piles'],['bleeding loose stools'],5g latex with milk,the herb formulation is used in the treatment of diarrhea piles,,برگاد,فکس بنگالینس,پتیاں,سرد گیلے,['فکسین'],['اسہال کی ہڈی'],['خون بہنے والی چھلکیاں'],دودھ کے ساتھ 5 جی لیٹیکس,اس کے علاوہ، اس کے ساتھ ساتھ اس کے ساتھ بھی استعمال کیا جاتا ہے.
Kahu,lactuca sativa,seeds,cold wet,['lactucin'],['insomnia anxiety'],['restlessness agitation'],3g powder at night,the herb formulation is used in the treatment of insomnia anxiety,,کھیو,لاکٹوکا سٹیوا,بیج,سرد گیلے,['لاکٹوین'],['بے خوابی کا اضطراب'],['بے چینگی ہلچل'],رات کو 3 جی پاؤڈر,جڑی بوٹیوں کی تشکیل کو بے خوابی کی پریشانی کے علاج میں استعمال کیا جاتا ہے
Khatmi,althaea officinalis,root,cold wet,['mucilage'],['dry cough gastritis'],['throat dryness acidity'],5g decoction,the herb formulation is used in the treatment of dry cough gastritis,,خٹمی,althaea officinalis,جڑ,سرد گیلے,['مٹی'],['خشک کھانسی کا گسٹرائٹس'],['گلے کی خشکگی تیزابیت'],5 جی ڈائیکوریشن,جھاڑیوں کی تشکیل خشک کھانسی کا علاج کرنے میں استعمال ہوتی ہے
Asgandh,withania somnifera,root,hot dry,['withanolides'],['weakness'],['fatigue joint pain'],3 5g powder with milk,the herb formulation is used in the treatment of weakness,,اسگندھ,ویتھانیہ سونیفرہ,جڑ,گرم خشک,['ویتھانولائڈس'],['کمزوری'],['تھکاوٹ مشترکہ درد'],دودھ کے ساتھ 3 5g پاؤڈر,جڑی بوٹیوں کی تشکیل کمزوریاں کے علاج میں استعمال ہوتی ہے
Nim Kofta,azadirachta indica,seeds,cold dry,['azadirachtin'],['skin parasites'],['scabies lice'],topical paste,the herb formulation is used in the treatment of skin parasites,,نِم کوفتہ,آزادراچتا انڈیکا,بیج,سرد خشک,['آزادراچٹن'],['جلد کے پرجیوی'],['کڑواں پُھول'],گھریلو پیسٹ,جڑی بوٹیوں کی تشکیل جلد کی پرجیویوں کے علاج میں استعمال کی جاتی ہے
Piyaz,allium cepa,bulb,hot wet,['allicin'],['common cold'],['congestion cough'],juice with honey,the herb formulation is used in the treatment of common cold,,پیاز,ایلیوم سیپا,بلب,گرم مٹی,['الیسین'],['عام سردی'],['بھڑکاو کھانسی'],شہد کے ساتھ جوس,جڑی بوٹیوں کی تشکیل عام سردی کے علاج میں استعمال کی جاتی ہے
Qaranfal,syzygium aromaticum,flower buds,hot dry,['eugenol'],['toothache infection'],['pain swelling'],clove oil topically,the herb formulation is used in the treatment of toothache infection,,قرانفال,سیجیجیم اروماتیکوم,پھولوں کے پھول,گرم خشک,['ایوجینول'],['دانتوں کا درد'],['درد کی سوزش'],نخل کا تیل مقامی طور پر,جڑی بوٹیوں کی تشکیل دہی میں دانتوں کے درد کی انفیکشن کے علاج میں استعمال ہوتی ہے
Rai,sinapis alba,seeds,hot dry,['glucosinolates'],['joint pain sinusitis'],['inflammation blockage'],poultice external,the herb formulation is used in the treatment of joint pain sinusitis,,رائی,سوئیٹ البا,بیج,گرم خشک,['گلوکوزینوالیٹس'],['مشترکہ درد سینوسائٹس'],['سوزش کی رکاوٹ'],بیرونی پلس,جڑوں کے درد سینوسائٹس کے علاج میں جڑی بوٹیوں کی تشکیل کا استعمال کیا جاتا ہے
Sumbul-ut-Teeb,nardostachys jatamansi,root,cold dry,['jatamansone'],['hysteria epilepsy'],['convulsions anxiety'],1 2g powder,the herb formulation is used in the treatment of hysteria epilepsy,,سمبل-اٹ-ٹیب,نردوسٹاکس جٹامنس,جڑ,سرد خشک,['جٹمانسون'],['ہسٹریائی ایپلیپسی'],['جھنجھوڑ پریشانی'],12 گرام پاؤڈر,ہسٹری ایپلیپسی کے علاج میں جڑی بوٹیوں کا فارمولا استعمال کیا جاتا ہے
Tukhm-e-Balango,plantago ovata,seeds,cold wet,['mucilage'],['constipation ibs'],['hard stools bloating'],5 10g with water,the herb formulation is used in the treatment of constipation ibs,,توکم بالانگو,پلانگو اوواٹا,بیج,سرد گیلے,['مٹی'],['قبضہ آئی بی ایس'],['سخت فاضل پھول'],پانی کے ساتھ 5 10 گرام,اس جڑی بوٹی کی تشکیل کو قبض کے علاج میں استعمال کیا جاتا ہے
Ustukhuddus,lavandula stoechas,flowers,hot dry,['linalool'],['headache insomnia'],['migraine restlessness'],3g infusion,the herb formulation is used in the treatment of headache insomnia,,اوستوکودس,لاوندولا سٹوکاس,پھول,گرم خشک,['لینالول'],['سر درد اور بے خوابی'],['میگرین کی بے چینی'],3 جی انفیوژن,جڑی بوٹیوں کی تشکیل سر درد کے علاج میں استعمال ہوتی ہے
Vaj,turmeric zedoaria,rhizome,hot dry,['curcumene'],['digestive disorders'],['loss of appetite nausea'],1 3g powder,the herb formulation is used in the treatment of digestive disorders,,ویج,زڈوریہ زڈوریہ,ریزوم,گرم خشک,['کرمین'],['ہضم کی خرابی'],['بھوک کا نقصان بیہوشگی'],1 3 گرام پاؤڈر,ہضم کی خرابیوں کے علاج میں جڑی بوٹیوں کا فارمولا استعمال کیا جاتا ہے
